dummy2, 'En fin insert here', Denmark, 768, M, 1029, 597, Yellow, 179, 2
QM, 'En fin insert here', New Zealand, 894, XXL, 582, 1001, Blue, 6, 3
dummy1, 'En fin insert here', New Zealand, 450, XL, 739, 356, Blue, 18, 3
Cubus, 'En fin insert here', New Zealand, 1024, XL, 1399, 668, Yellow, 149, 3
dummy1, 'En fin insert here', Sweden, 338, L, 1625, 684, Yellow, 171, 3
HM, 'En fin insert here', Norway, 751, L, 291, 768, Purple, 100, 3
HM, 'En fin insert here', Sweden, 1071, L, 2054, 513, Cyan, 39, 2
dummy1, 'En fin insert here', Sweden, 1108, XL, 1186, 864, Cyan, 144, 3
QM, 'En fin insert here', Norway, 320, M, 126, 362, Green, 146, 3
dummy2, 'En fin insert here', Denmark, 1186, S, 740, 499, Blue, 48, 3
dummy1, 'En fin insert here', Sweden, 1023, S, 93, 359, Blue, 156, 3
Cubus, 'En fin insert here', Norway, 789, S, 1361, 465, Yellow, 78, 2
QM, 'En fin insert here', Norway, 905, L, 819, 893, Yellow, 175, 2
dummy1, 'En fin insert here', Norway, 200, L, 807, 292, Cyan, 80, 3
HM, 'En fin insert here', New Zealand, 324, SX, 1488, 77, Green, 26, 1
dummy2, 'En fin insert here', Sweden, 630, L, 859, 394, Pink, 15, 1
dummy2, 'En fin insert here', Sweden, 896, L, 1522, 978, Blue, 23, 3
dummy1, 'En fin insert here', Sweden, 203, M, 1189, 180, Cyan, 126, 1
HM, 'En fin insert here', Germany, 714, SX, 722, 833, Cyan, 39, 3
dummy2, 'En fin insert here', Finland, 470, XL, 424, 970, Pink, 88, 3
QM, 'En fin insert here', Denmark, 415, SX, 855, 730, Yellow, 158, 1
QM, 'En fin insert here', Denmark, 615, M, 201, 226, Yellow, 153, 1
QM, 'En fin insert here', Germany, 1199, XXL, 1162, 442, Pink, 73, 3
dummy2, 'En fin insert here', Germany, 1089, XXL, 1547, 856, Cyan, 35, 1
Cubus, 'En fin insert here', Norway, 841, L, 773, 728, Green, 98, 3
HM, 'En fin insert here', Sweden, 946, XXL, 1629, 631, Yellow, 74, 3
QM, 'En fin insert here', Finland, 1038, XL, 1309, 916, Pink, 35, 1
Cubus, 'En fin insert here', Sweden, 208, SX, 280, 326, Green, 57, 2
Cubus, 'En fin insert here', Sweden, 260, XXL, 695, 848, Cyan, 187, 2
HM, 'En fin insert here', Finland, 687, XXL, 858, 401, Green, 167, 2
dummy2, 'En fin insert here', Denmark, 416, XL, 444, 719, Yellow, 31, 2
Cubus, 'En fin insert here', Denmark, 203, XXL, 1455, 519, Cyan, 51, 1
HM, 'En fin insert here', New Zealand, 1026, S, 1365, 1000, Purple, 144, 3
HM, 'En fin insert here', Denmark, 558, SX, 251, 268, Purple, 12, 3
QM, 'En fin insert here', Norway, 817, L, 1982, 430, Pink, 60, 2
HM, 'En fin insert here', Norway, 1071, XXL, 1644, 579, Cyan, 126, 1
Cubus, 'En fin insert here', Finland, 305, L, 934, 673, Green, 15, 2
Cubus, 'En fin insert here', Norway, 673, M, 1395, 755, Pink, 192, 2
Cubus, 'En fin insert here', Denmark, 503, M, 915, 291, Yellow, 68, 2
HM, 'En fin insert here', Sweden, 712, XXL, 817, 713, Purple, 161, 2
dummy1, 'En fin insert here', Finland, 1188, SX, 246, 880, Purple, 168, 3
QM, 'En fin insert here', Norway, 1106, XL, 1811, 934, Yellow, 128, 3
QM, 'En fin insert here', Germany, 434, XL, 566, 403, Purple, 9, 2
dummy2, 'En fin insert here', New Zealand, 1146, SX, 1523, 285, Green, 197, 2
Cubus, 'En fin insert here', Norway, 301, L, 224, 353, Yellow, 159, 1
HM, 'En fin insert here', Germany, 523, S, 2054, 687, Pink, 47, 3
Cubus, 'En fin insert here', Norway, 313, SX, 741, 368, Cyan, 120, 3
QM, 'En fin insert here', New Zealand, 476, SX, 1924, 108, Green, 158, 2
dummy2, 'En fin insert here', New Zealand, 1104, M, 656, 85, Cyan, 50, 2
QM, 'En fin insert here', Finland, 717, S, 1588, 446, Purple, 18, 1
dummy2, 'En fin insert here', Germany, 589, SX, 2042, 158, Cyan, 42, 2
HM, 'En fin insert here', Denmark, 1000, L, 1493, 791, Green, 118, 1
QM, 'En fin insert here', New Zealand, 1055, L, 568, 297, Cyan, 35, 1
dummy2, 'En fin insert here', New Zealand, 239, L, 1375, 935, Green, 167, 1
dummy1, 'En fin insert here', Germany, 632, XL, 314, 198, Blue, 164, 2
HM, 'En fin insert here', Norway, 515, XXL, 1027, 419, Pink, 28, 2
QM, 'En fin insert here', Sweden, 617, XXL, 778, 448, Purple, 86, 3
Cubus, 'En fin insert here', Denmark, 482, L, 1793, 440, Blue, 126, 1
dummy2, 'En fin insert here', Norway, 595, M, 1927, 511, Yellow, 161, 1
HM, 'En fin insert here', Denmark, 232, S, 136, 930, Green, 172, 3
dummy1, 'En fin insert here', Sweden, 1072, XXL, 375, 729, Green, 154, 3
Cubus, 'En fin insert here', Germany, 777, XXL, 1541, 797, Green, 178, 1
dummy2, 'En fin insert here', Norway, 761, XXL, 1821, 133, Blue, 84, 1
Cubus, 'En fin insert here', Germany, 554, SX, 211, 285, Cyan, 54, 1
HM, 'En fin insert here', Norway, 292, SX, 1038, 133, Cyan, 163, 1
QM, 'En fin insert here', Denmark, 841, XL, 916, 965, Pink, 137, 3
dummy1, 'En fin insert here', New Zealand, 692, XXL, 468, 726, Green, 184, 1
HM, 'En fin insert here', Denmark, 574, M, 207, 743, Yellow, 185, 3
